Date;Open;High;Low;Close;Adj Close;Volume
23.1.2014;15,58;15,5825;15,1775;15,4275;14,844406;8795600
24.1.2014;15,1225;15,135;14,4275;14,4275;13,882202;15620400
27.1.2014;14,485;14,585;14,005;14,22;13,682544;14215600
28.1.2014;14,255;14,5275;14,245;14,48;13,932716;7050400
29.1.2014;14,1275;14,3475;13,945;14,0475;13,516563;8257200
30.1.2014;14,41;14,635;14,275;14,5075;13,959178;9108800
31.1.2014;13,9725;14,515;13,9425;14,2325;13,694571;9179600
3.2.2014;14,1875;14,285;13,1975;13,2775;12,775667;21674800
4.2.2014;13,46;13,655;13,315;13,555;13,042679;13081600
5.2.2014;13,4075;13,595;13,17;13,4925;12,982541;7779600
6.2.2014;13,6025;14,0325;13,6025;14,0225;13,492509;7724400
7.2.2014;14,23;14,6;14,0975;14,565;14,014504;12381600
10.2.2014;14,5625;14,65;14,4425;14,6275;14,074642;7862400
11.2.2014;14,69;15,23;14,6525;15,11;14,538906;7558800
12.2.2014;15,1875;15,325;15,0525;15,1575;14,584612;7734800
13.2.2014;14,8375;15,42;14,8225;15,375;14,79389;12613200
14.2.2014;15,34;15,71;15,2875;15,6225;15,032036;9141600
18.2.2014;15,66;15,745;15,535;15,6775;15,084956;5552000
19.2.2014;15,5575;15,8625;15,33;15,375;14,79389;13062000
20.2.2014;15,4225;15,7425;15,2675;15,635;15,044064;10671600
21.2.2014;15,7325;15,8375;15,5575;15,59;15,000764;4687200
24.2.2014;15,685;16,157499;15,665;15,8075;15,210043;10546800
25.2.2014;15,8775;16,012501;15,6675;15,81;15,212449;7128000
26.2.2014;15,9;16,012501;15,6875;15,8225;15,224477;4834800
27.2.2014;15,7525;16,077499;15,71;16,077499;15,469838;9280800
28.2.2014;16,0625;16,4125;15,87;16,1975;15,585303;11879200
3.3.2014;15,7675;15,9675;15,5275;15,84;15,241316;14517200
4.3.2014;16,3225;16,6175;16,307501;16,547501;15,922076;7664800
5.3.2014;16,557501;16,647499;16,485001;16,532499;15,90764;6802000
